id,created_at,name,description,image_url,video_url,release_date,language,status,director_id,studio_id
33,2023-02-03 11:54:15.602739+00,Captain America: The First Avenger,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,https://youtu.be/jX-dpQAginE,2011-07-22,English,2,20,9
7,2023-02-02 13:54:17.906387+00,Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/a7JmOBMNj5erYTgt4u1mQgvHItu.jpg,https://youtu.be/JGPl86DBNNs,2010-06-23,English,2,6,13
22,2023-02-03 09:10:33.459881+00,The Man from U.N.C.L.E.,"At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zkacOORjKJxRswDurffyvkMwriS.jpg,https://youtu.be/4K4Iv_N9Nno,2015-08-26,English,2,15,7
25,2023-02-03 09:15:25.768238+00,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/j3BrQDIKThJU46vVNMCFUGZIEyW.jpg,https://youtu.be/-cYR5MFb8Rc,2013-06-14,English,2,14,7
28,2023-02-03 09:34:11.318539+00,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,https://youtu.be/f_h95mEd4TI,2013-04-18,English,2,17,9
30,2023-02-03 09:40:40.408518+00,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,https://youtu.be/n312Tk09rxE,2015-05-01,English,2,18,9
27,2023-02-03 09:31:58.735546+00,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,https://youtu.be/BoohRoVA9WQ,2010-05-07,English,2,16,9
31,2023-02-03 09:45:54.369395+00,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,https://youtu.be/sAOzrChqmd0,2018-04-27,English,2,19,9
34,2023-02-03 11:56:09.894091+00,Captain America: The Winter Soldier,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,https://youtu.be/tbayiPxkUMM,2014-04-04,English,2,21,9
35,2023-02-03 11:58:48.907464+00,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,https://youtu.be/43NWzay3W4s,2016-05-06,English,2,21,9
