id,movie_id,category_id,created_at
553,178,10,2023-02-14 13:38:10.603905+00
554,179,6,2023-02-14 13:42:07.694418+00
555,179,7,2023-02-14 13:42:07.694418+00
556,180,17,2023-02-14 14:02:02.331155+00
557,180,6,2023-02-14 14:02:02.331155+00
558,180,18,2023-02-14 14:02:02.331155+00
559,181,1,2023-02-14 14:07:27.14179+00
560,181,6,2023-02-14 14:07:27.14179+00
561,181,14,2023-02-14 14:07:27.14179+00
562,181,3,2023-02-14 14:07:27.14179+00
563,182,1,2023-02-14 14:10:28.460573+00
564,182,3,2023-02-14 14:10:28.460573+00
565,182,6,2023-02-14 14:10:28.460573+00
566,182,14,2023-02-14 14:10:28.460573+00
567,183,1,2023-02-14 14:20:23.066591+00
568,183,2,2023-02-14 14:20:23.066591+00
569,183,16,2023-02-14 14:20:23.066591+00
570,184,1,2023-02-14 14:21:34.74021+00
571,184,2,2023-02-14 14:21:34.74021+00
572,184,16,2023-02-14 14:21:34.74021+00
573,185,1,2023-02-14 14:22:50.227835+00
574,185,2,2023-02-14 14:22:50.227835+00
575,185,16,2023-02-14 14:22:50.227835+00
576,186,1,2023-02-14 14:31:29.581792+00
577,186,6,2023-02-14 14:31:29.581792+00
578,186,3,2023-02-14 14:31:29.581792+00
579,187,1,2023-02-15 06:09:21.279013+00
580,187,2,2023-02-15 06:09:21.279013+00
581,187,18,2023-02-15 06:09:21.279013+00
582,188,1,2023-02-15 06:17:26.617804+00
583,188,2,2023-02-15 06:17:26.617804+00
584,188,8,2023-02-15 06:17:26.617804+00
585,188,18,2023-02-15 06:17:26.617804+00
586,189,1,2023-02-15 06:19:55.920429+00
587,189,5,2023-02-15 06:19:55.920429+00
588,189,18,2023-02-15 06:19:55.920429+00
589,190,2,2023-02-15 06:23:30.928028+00
590,190,6,2023-02-15 06:23:30.928028+00
591,190,16,2023-02-15 06:23:30.928028+00
592,191,1,2023-02-15 06:30:12.099038+00
593,191,17,2023-02-15 06:30:12.099038+00
594,191,18,2023-02-15 06:30:12.099038+00
595,191,6,2023-02-15 06:30:12.099038+00
596,192,1,2023-02-15 06:32:17.180488+00
597,192,6,2023-02-15 06:32:17.180488+00
598,192,17,2023-02-15 06:32:17.180488+00
599,192,18,2023-02-15 06:32:17.180488+00
600,193,1,2023-02-15 06:33:27.562698+00
601,193,17,2023-02-15 06:33:27.562698+00
602,193,6,2023-02-15 06:33:27.562698+00
603,194,1,2023-02-15 06:36:45.575364+00
604,194,6,2023-02-15 06:36:45.575364+00
605,194,3,2023-02-15 06:36:45.575364+00
606,195,5,2023-02-15 06:39:20.481087+00
607,195,6,2023-02-15 06:39:20.481087+00
608,196,1,2023-02-15 06:46:03.692007+00
609,196,2,2023-02-15 06:46:03.692007+00
610,196,17,2023-02-15 06:46:03.692007+00
611,196,5,2023-02-15 06:46:03.692007+00
612,197,1,2023-02-15 06:47:06.534934+00
613,197,2,2023-02-15 06:47:06.534934+00
614,197,5,2023-02-15 06:47:06.534934+00
615,198,1,2023-02-15 06:48:56.415402+00
616,198,2,2023-02-15 06:48:56.415402+00
617,198,18,2023-02-15 06:48:56.415402+00
618,198,3,2023-02-15 06:48:56.415402+00
619,198,19,2023-02-15 06:48:56.415402+00
620,199,1,2023-02-15 06:55:28.709299+00
621,199,17,2023-02-15 06:55:28.709299+00
622,199,18,2023-02-15 06:55:28.709299+00
623,200,1,2023-02-15 06:57:16.916483+00
624,200,18,2023-02-15 06:57:16.916483+00
625,201,1,2023-02-15 07:01:12.613877+00
626,201,17,2023-02-15 07:01:12.613877+00
627,201,18,2023-02-15 07:01:12.613877+00
628,202,1,2023-02-15 07:07:48.354351+00
629,202,17,2023-02-15 07:07:48.354351+00
630,202,18,2023-02-15 07:07:48.354351+00
631,203,1,2023-02-15 07:22:44.804095+00
632,203,2,2023-02-15 07:22:44.804095+00
633,203,5,2023-02-15 07:22:44.804095+00
634,204,1,2023-02-15 07:23:55.741941+00
635,204,2,2023-02-15 07:23:55.741941+00
636,204,5,2023-02-15 07:23:55.741941+00
637,205,1,2023-02-15 07:25:50.894453+00
638,205,5,2023-02-15 07:25:50.894453+00
639,206,1,2023-02-15 07:27:31.900515+00
640,206,5,2023-02-15 07:27:31.900515+00
641,207,1,2023-02-15 07:53:35.292134+00
642,207,5,2023-02-15 07:53:35.292134+00
643,207,17,2023-02-15 07:53:35.292134+00
644,208,1,2023-02-15 07:54:57.449837+00
645,208,17,2023-02-15 07:54:57.449837+00
646,208,18,2023-02-15 07:54:57.449837+00
647,209,5,2023-02-15 07:56:06.753833+00
648,209,6,2023-02-15 07:56:06.753833+00
649,209,13,2023-02-15 07:56:06.753833+00
653,211,6,2023-02-15 08:03:11.670466+00
654,211,7,2023-02-15 08:03:11.670466+00
682,222,6,2023-02-15 08:38:20.257746+00
683,222,7,2023-02-15 08:38:20.257746+00
691,226,6,2023-02-15 08:49:44.230396+00
692,226,7,2023-02-15 08:49:44.230396+00
650,210,5,2023-02-15 07:58:10.952097+00
651,210,6,2023-02-15 07:58:10.952097+00
652,210,13,2023-02-15 07:58:10.952097+00
665,215,6,2023-02-15 08:09:01.018904+00
666,215,14,2023-02-15 08:09:01.018904+00
667,215,7,2023-02-15 08:09:01.018904+00
684,223,1,2023-02-15 08:42:22.482383+00
685,223,2,2023-02-15 08:42:22.482383+00
686,223,6,2023-02-15 08:42:22.482383+00
687,224,6,2023-02-15 08:44:23.011509+00
688,224,7,2023-02-15 08:44:23.011509+00
689,225,6,2023-02-15 08:48:30.000098+00
690,225,7,2023-02-15 08:48:30.000098+00
655,212,6,2023-02-15 08:04:26.529498+00
656,212,7,2023-02-15 08:04:26.529498+00
657,213,6,2023-02-15 08:05:42.707369+00
658,213,7,2023-02-15 08:05:42.707369+00
662,214,6,2023-02-15 08:07:45.208012+00
663,214,7,2023-02-15 08:07:45.208012+00
664,214,14,2023-02-15 08:07:45.208012+00
672,218,6,2023-02-15 08:22:36.66947+00
673,218,7,2023-02-15 08:22:36.66947+00
676,220,6,2023-02-15 08:27:02.507861+00
677,220,5,2023-02-15 08:27:02.507861+00
678,220,13,2023-02-15 08:27:02.507861+00
668,216,6,2023-02-15 08:10:02.630036+00
669,216,5,2023-02-15 08:10:02.630036+00
670,217,6,2023-02-15 08:11:26.081791+00
671,217,5,2023-02-15 08:11:26.081791+00
674,219,6,2023-02-15 08:24:48.647417+00
675,219,7,2023-02-15 08:24:48.647417+00
679,221,2,2023-02-15 08:35:20.202641+00
680,221,6,2023-02-15 08:35:20.202641+00
681,221,7,2023-02-15 08:35:20.202641+00
